drug_a,drug_b
REMIFENTANIL,SUCCINYLCHOLINE
REMIFENTANIL,TRAMADOL
REMIFENTANIL,TRAZODONE
CALCIUM,RITONAVIR
CYCLOSPORINE,RITONAVIR
DASABUVIR,RITONAVIR
DIGOXIN,RITONAVIR
LOVASTATIN,RITONAVIR
OMBITASVIR,RITONAVIR
PARITAPREVIR,RITONAVIR
RITONAVIR,ROSUVASTATIN
RITONAVIR,SIMVASTATIN
RITONAVIR,TACROLIMUS
RIVASTIGMINE,SUCCINYLCHOLINE
CARBAMAZEPINE,ROCURONIUM
LITHIUM,ROCURONIUM
MAGNESIUM,ROCURONIUM
OXYGEN,ROCURONIUM
PHENYTOIN,ROCURONIUM
PROPOFOL,ROCURONIUM
ROCURONIUM,SUCCINYLCHOLINE
ROCURONIUM,VANCOMYCIN
COLCHICINE,ROSUVASTATIN
CYCLOSPORINE,ROSUVASTATIN
DAROLUTAMIDE,ROSUVASTATIN
DASABUVIR,ROSUVASTATIN
ENASIDENIB,ROSUVASTATIN
FEBUXOSTAT,ROSUVASTATIN
FENOFIBRATE,ROSUVASTATIN
FENOFIBRIC ACID,ROSUVASTATIN
GEMFIBROZIL,ROSUVASTATIN
MAGNESIUM,ROSUVASTATIN
NIACIN,ROSUVASTATIN
OMBITASVIR,ROSUVASTATIN
PARITAPREVIR,ROSUVASTATIN
REGORAFENIB,ROSUVASTATIN
ROSUVASTATIN,SIMEPREVIR
ROSUVASTATIN,SOFOSBUVIR
ROSUVASTATIN,TAFAMIDIS
ROSUVASTATIN,TERIFLUNOMIDE
ROSUVASTATIN,TICAGRELOR
ROSUVASTATIN,VELPATASVIR
ROSUVASTATIN,WARFARIN
DOPAMINE,ROTIGOTINE
LEVODOPA,ROTIGOTINE
ATRACURIUM,SEVOFLURANE
CALCIUM,SEVOFLURANE
EPINEPHRINE,SEVOFLURANE
PANCURONIUM,SEVOFLURANE
SEVOFLURANE,SUCCINYLCHOLINE
SEVOFLURANE,VECURONIUM
AMIODARONE,SIMVASTATIN
AMLODIPINE,SIMVASTATIN
CALCIUM,SIMVASTATIN
CYCLOSPORINE,SIMVASTATIN
DANAZOL,SIMVASTATIN
DIGOXIN,SIMVASTATIN
DRONEDARONE,SIMVASTATIN
ERYTHROMYCIN,SIMVASTATIN
GEMFIBROZIL,SIMVASTATIN
ITRACONAZOLE,SIMVASTATIN
KETOCONAZOLE,SIMVASTATIN
NIACIN,SIMVASTATIN
RANOLAZINE,SIMVASTATIN
SIMVASTATIN,TELAPREVIR
SIMVASTATIN,VERAPAMIL
SIMVASTATIN,VORICONAZOLE
AZATHIOPRINE,SIROLIMUS
CYCLOSPORINE,SIROLIMUS
METFORMIN,SITAGLIPTIN
ALCOHOL,SODIUM OXYBATE
CYCLOSPORINE,SOFOSBUVIR
FLUVASTATIN,SOFOSBUVIR
LOVASTATIN,SOFOSBUVIR
PITAVASTATIN,SOFOSBUVIR
PRAVASTATIN,SOFOSBUVIR
SIMVASTATIN,SOFOSBUVIR
SOFOSBUVIR,TENOFOVIR
SOFOSBUVIR,VELPATASVIR
MAGNESIUM,SONIDEGIB
ATROPINE,SUCCINYLCHOLINE
CALCIUM,SUCCINYLCHOLINE
DANTROLENE,SUCCINYLCHOLINE
METOCLOPRAMIDE,SUCCINYLCHOLINE
OXYGEN,SUCCINYLCHOLINE
POTASSIUM,SUCCINYLCHOLINE
ALCOHOL,SUFENTANIL
